dimension,samplesize,time,actual,synthesized,tpr,tnr,constrain_difference
2,20,0.22005034095687792,0.0,0.42163702135578385,0.09028626106175626,0.10850935531276512,0.42163702135578385
2,30,0.08418642743566866,0.0,0.4830458915396479,0.1112035584756595,0.11574784893856421,0.4830458915396479
2,40,0.12994272605104676,0.0,0.4216370213557839,0.07624667483551492,0.08301523127176492,0.4216370213557839
2,50,0.16777556918248607,0.0,0.31622776601683805,0.08373555373756338,0.039192416180670146,0.31622776601683805
2,100,0.3592413996143066,0.0,0.5163977794943224,0.0330340433903053,0.03774532722934459,0.5163977794943224
2,200,1.3474964947137245,0.0,0.0,0.020255813464867583,0.02634521579846489,0.0
2,300,0.6927050102362011,0.0,0.31622776601683805,0.008673548518963875,0.028156914175620128,0.31622776601683805
2,400,0.4548674407196615,0.0,0.0,0.008976130767264385,0.0059325636950183485,0.0
2,500,0.5264348633248089,0.0,0.0,0.009040657957776662,0.013286645523053644,0.0
3,20,0.07977811218647063,0.0,0.0,0.13775363539324542,0.10697542859149012,0.0
3,30,0.15203394104297038,0.0,0.0,0.0672329565419499,0.026167376961563377,0.0
3,40,0.49603155743329236,0.0,0.5270462766947299,0.0835240447691119,0.11914592437711571,0.5270462766947299
3,50,0.6998283976154537,0.0,0.31622776601683794,0.045935197376956775,0.07944569310093402,0.31622776601683794
3,100,2.4273095322373064,0.0,0.5270462766947298,0.031456492415206636,0.03840034451436758,0.5270462766947298
3,200,11.42973685624495,0.0,0.483045891539648,0.02676901654717569,0.01908492969997835,0.483045891539648
3,300,17.716229455340212,0.0,0.6666666666666666,0.023795127144676107,0.024652053933976657,0.6666666666666666
3,400,26.72029245611091,0.0,0.483045891539648,0.021785193572902505,0.015511236431449612,0.483045891539648
3,500,55.913573091853976,0.0,0.4216370213557839,0.012343633159810541,0.009100431331967838,0.4216370213557839
4,20,0.09568162641331111,0.0,0.0,0.11428250266545219,0.08725078287070294,0.0
4,30,0.3440644868884804,0.0,0.0,0.12420870318485662,0.06934013923649529,0.0
4,40,2.473135415465731,0.0,0.4216370213557839,0.05064728970869037,0.05346573565837098,0.4216370213557839
4,50,3.229792178186966,0.0,0.5163977794943223,0.05605140496102751,0.0742785705500077,0.5163977794943223
4,100,11.807512906202328,0.0,0.31622776601683794,0.04204373460679411,0.03605066463742158,0.31622776601683794
4,200,222.17204072044555,0.0,0.0,0.02133227059311133,0.013994936820001276,0.0
4,300,994.2770381964996,0.0,0.42163702135578407,0.027808136521584724,0.02177502067919668,0.42163702135578407
