dimension,samplesize,time,actual,synthesized,tpr,tnr,constrain_difference
2,20,0.0542390295723319,0.0,0.6324555320336759,0.12347289626887377,0.11512478847835705,0.6324555320336759
2,30,0.07991208906755,0.0,0.5270462766947298,0.08031713070456781,0.07925972787517432,0.5270462766947298
2,40,0.07275454201248123,0.0,0.5163977794943223,0.0733712943057643,0.05954388094861893,0.5163977794943223
2,50,0.11923614590101711,0.0,0.6992058987801009,0.06711259017151933,0.06485332722569172,0.6992058987801009
2,100,0.16241553967300065,0.0,0.0,0.04134075434435568,0.023565354518914734,0.0
2,200,0.18630229481572375,0.0,0.0,0.014455635519581388,0.006282725580693526,0.0
2,300,0.28514494421826897,0.0,0.0,0.021527444115085045,0.010422815670346957,0.0
2,400,0.45615611559100633,0.0,0.0,0.011863184888577624,0.0035786913207614826,0.0
2,500,0.36111643304176444,0.0,0.0,0.010586569320799127,0.004587369912359115,0.0
3,20,0.05623691453664016,0.0,0.5270462766947299,0.16730447548272473,0.06359046690422442,0.5270462766947299
3,30,0.12616881079729422,0.0,0.48304589153964794,0.05949553502583642,0.05936526969654342,0.48304589153964794
3,40,0.16852131921056304,0.0,0.42163702135578385,0.094299152477166,0.026037495899878808,0.42163702135578385
3,50,0.3572364901252241,0.0,0.7378647873726218,0.07822693118724716,0.027743551866922442,0.7378647873726218
3,100,0.9773511083349864,0.0,0.6324555320336759,0.02886138090810763,0.02256114665286652,0.6324555320336759
3,200,2.7861519047381895,0.0,0.5270462766947299,0.019903478581301114,0.016351093257142263,0.5270462766947299
3,300,2.797441456233666,0.0,0.31622776601683794,0.009008269244382893,0.01543248205515781,0.31622776601683794
3,400,8.168916520192504,0.0,0.4830458915396479,0.02293008721169844,0.007263303791551669,0.4830458915396479
3,500,7.759156209930773,0.0,0.4830458915396479,0.019319343579354598,0.008564123160317365,0.4830458915396479
4,20,0.020636314265496815,0.0,0.0,0.12414715109192058,0.10242844409213411,0.0
4,30,0.19689592980742485,0.0,0.4216370213557839,0.051776485210392326,0.07740186465341838,0.4216370213557839
4,40,0.2957446318869958,0.0,0.4216370213557839,0.04041408891795118,0.023363298906737297,0.4216370213557839
4,50,0.191658509436402,0.0,0.31622776601683794,0.03645743907574168,0.026435092050483926,0.31622776601683794
4,100,0.9119264795722598,0.0,0.5270462766947299,0.048811278884702915,0.030880911041842887,0.5270462766947299
4,200,2.800948290869942,0.0,0.5163977794943222,0.033101972081995445,0.010642777905595022,0.5163977794943222
4,300,3.471824467932253,0.0,0.6324555320336759,0.020059341167761355,0.00919555121303135,0.6324555320336759
